name,miles,price,dealer,rating,reviews,image
2005 Mercedes-Benz SL-Class 5.0L,"67,535 mi.","$14,999",Your Choice Autos Waukegan,4.1,95 reviews,https://platform.cstatic-images.com/large/in/v2/30feaf08-2893-5a2e-8c3c-31a823ac9089/01e2b146-254d-4a53-ad76-08ae541c2e3f/JeLL_t3kSRdAgNVHeg4mO4rJ-j0.jpg
2019 Mercedes-Benz GLC 350e Base 4MATIC,"30,612 mi.","$43,905",Where Luxury Meets,4.3,283 reviews,https://platform.cstatic-images.com/large/in/v2/a85fd2a3-a0a6-5d26-a1bc-0c6a3f937ef6/75076dbf-d9ca-4d1e-bc17-1ec7bb1c93ae/v1de8Z6dGrdtgPNGz1CqENqt3fA.jpg
2019 Mercedes-Benz GLA 250 Base 4MATIC,"12,585 mi.","$39,500",Bravo Cadillac El Paso,4.5,171 reviews,https://platform.cstatic-images.com/large/in/v2/816be641-b68a-5ba1-9aab-02de05692b18/7cff7349-42af-471e-b558-69265dceb5fe/tJ7ALaFOG1t7og0NP7C2U6aXAM8.jpg
2003 Mercedes-Benz S-Class S430,"100,687 mi.","$6,100",Ace Motors,5.0,8 reviews,https://platform.cstatic-images.com/large/in/v2/5378c937-5c52-55a9-b01c-083d98ca5b0e/a960f604-680a-4f7b-9b30-070323f31af0/nI0gDVeLZQ6rQWac5ZZmzWaeLQo.jpg
2018 Mercedes-Benz E-Class E 300 4MATIC,"49,399 mi.","$29,950",Jamaica 26 Motors,2.9,34 reviews,https://platform.cstatic-images.com/large/in/v2/0b32085c-e982-5bac-863c-b1da1d61bb63/c17120f0-3f33-42f0-a6a3-166fbc329b4b/O6WoBdk-SCF-JDYTSP6cUN6pQKE.jpg
2021 Mercedes-Benz GLC 300 ,"16,160 mi.","$55,994",Mercedes-Benz of Birmingham,4.9,779 reviews,https://platform.cstatic-images.com/large/in/v2/1f9486c2-58f9-544f-b5ec-ff083d7ddcd6/4612ab35-4f71-40b5-88db-33817bcf905b/KN6iTn-9HdmeDtBezC8LtPDwrk8.jpg
2019 Mercedes-Benz GLS 450 Base 4MATIC,"25,755 mi.","$63,499",Passport INFINITI of Alexandria,4.4,386 reviews,https://platform.cstatic-images.com/large/in/v2/616255aa-d3a6-5044-b859-9abd53dff181/80afce4c-87e1-4182-bf48-0ab800aa2039/vIGVesevJxpquqGcAn-Ll87rse8.jpg
2019 Mercedes-Benz GLC 350e Base 4MATIC,"19,107 mi.","$37,905",Where Luxury Meets,4.3,283 reviews,https://platform.cstatic-images.com/large/in/v2/a85fd2a3-a0a6-5d26-a1bc-0c6a3f937ef6/4b25696b-5148-4351-8238-69e13d8d1729/IhI4zd__1HCcEXLPmf4xYU8uATs.jpg
2019 Mercedes-Benz C-Class C 300,"29,050 mi.","$37,990",Chino Hills Ford,3.7,3 reviews,https://platform.cstatic-images.com/large/in/v2/cb6e62bc-16d4-59ef-ad65-467fbdba7306/eb7f7d23-eb8a-493d-a622-8492eb955106/gEIuFIDO5NXdaOaQ5HhHGO3tCzM.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"35,084 mi.","$72,000",Audi North Miami,4.7,153 reviews,https://platform.cstatic-images.com/large/in/v2/95c2d456-393c-5377-8054-5e0338c43442/550affd8-c501-4bf2-a1c9-fa912af03a7a/o-D5Cp1btl7pGIYHIzyalilZa2g.jpg
2016 Mercedes-Benz GLE-Class GLE 350 4MATIC,"22,734 mi.","$36,802",Jackie Cooper Imports,4.9,"3,228 reviews",https://platform.cstatic-images.com/large/in/v2/28d96b63-b02f-50db-9a65-4f70611ca3c9/8caf2617-cb81-4749-88b6-31710f9e4f63/pBYSYLptgAB2Yzfvb55EH9PThUo.jpg
2021 Mercedes-Benz AMG E 53 Base 4MATIC,"1,035 mi.","$86,999",Mercedes Benz of Hoffman Estates,4.7,"1,069 reviews",https://platform.cstatic-images.com/large/in/v2/2b427266-2af3-56d8-af22-5491142dc936/580713f3-03e6-4519-b61e-dfb8dcd31d02/EPmnzW-2LAfza4A22nQNHdYB0U8.jpg
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"17,620 mi.","$76,694",Mercedes-Benz of Edison,4.9,"2,535 reviews",https://platform.cstatic-images.com/large/in/v2/a3dbaec2-09fa-551b-9fd1-b8424b8ae645/72519b72-de27-4e84-bcbf-e922103e4f83/yCc1vMAxqtqOVAbB_GE33S1s2XY.jpg
2021 Mercedes-Benz AMG G 63 Base,"7,792 mi.","$264,900",Lamborghini Newport Beach,4.8,20 reviews,https://platform.cstatic-images.com/large/in/v2/43e165c5-b89b-5d8c-a8bb-d2f9136bda84/66e9aa51-e8de-4a9e-8c8e-73ea6d86cdf8/IsJtx0SdRpxUU7SlE1fmgyIRCYI.jpg
2020 Mercedes-Benz AMG C 63 S,"12,725 mi.","$79,495",Passport BMW,4.7,"1,109 reviews",https://platform.cstatic-images.com/large/in/v2/fc1f6a51-fa30-53a9-ab10-58eec3dac0d9/907c40bc-6f9e-41e7-9a10-d79182a7f652/P6R6TexEdpia84oc_jAk8E397UY.jpg
2010 Mercedes-Benz GLK-Class GLK 350 4MATIC,"46,899 mi.","$19,975",Maximum Auto Search,4.3,681 reviews,https://platform.cstatic-images.com/large/in/v2/06c34b63-2ace-5738-a55b-2478056d0a71/74a148dd-d8ec-4cb0-883c-69a42675b97a/msGhqJnki4RgnNwe4iDJ7dsX3I4.jpg
2021 Mercedes-Benz G-Class G 550 4MATIC,"1,792 mi.","$199,994",Brentwood Auto Brokers,4.4,83 reviews,https://platform.cstatic-images.com/large/in/v2/03311f59-d8f3-5722-a07b-8d286de0e4e1/1ab0d606-2c38-4da4-830d-e76401084ac3/shsj7UtaaYH017lOv1r3zJYEf4g.jpg
2021 Mercedes-Benz C-Class C 300,"15,224 mi.","$66,988",Baker Motor Company of Charleston,3.9,200 reviews,https://platform.cstatic-images.com/large/in/v2/056d9f3a-f09a-5ef2-939b-fb5e4689c6bb/a64f6a04-efe4-45b8-ad63-62d4496d0a6c/9Y_64mgah-MQnEsYeKEQzPihduA.jpg
2019 Mercedes-Benz S-Class S 560 4MATIC,"33,883 mi.","$79,882",Mercedes-Benz of Rockville Centre,4.8,"1,288 reviews",https://platform.cstatic-images.com/large/in/v2/066127c7-ed64-5194-b536-751b4e983ec9/b33e5a3a-4b8f-43bf-bfd1-9b56065ca717/vOUlHW2YvOGhbjzsA1uXPWcHejk.jpg
2003 Mercedes-Benz SL-Class SL500 Roadster,"70,000 mi.","$12,999",VCD Auto Group,5.0,6 reviews,https://platform.cstatic-images.com/large/in/v2/e19fd365-536f-580b-9cf5-c527fc376ff1/eaad2574-49db-4036-8ee1-967a25f5d121/xAY6u0YhdrFgTbk8xFZ6YYRjA2U.jpg
2019 Mercedes-Benz GLS 550 Base 4MATIC,"14,376 mi.","$78,985",Fox Ford Lincoln,4.8,"1,629 reviews",https://platform.cstatic-images.com/large/in/v2/37aa0ac1-8e11-5cee-93ad-f661d1eac3ba/3198707d-1c81-40ae-9f7d-4e5b33edab9e/xRAPx5Pwho9h-bK1HcSrsut032o.jpg
2016 Mercedes-Benz C-Class C 300,"35,340 mi.","$26,400",Deluxe Auto Sales,4.7,"1,555 reviews",https://platform.cstatic-images.com/large/in/v2/cb9beaae-9cb6-5bf7-b9d5-ecf57243e85e/82438c71-7d7f-4c04-ad48-9329d8e82bd7/dma1lEjLc5LCpirF656jc8YcjrI.jpg
2006 Mercedes-Benz E-Class E 350,"52,450 mi.","$13,890",Precise Automotive Group,2.3,16 reviews,https://platform.cstatic-images.com/large/in/v2/b79a1c23-823f-5da1-a4d1-f4ca960e1837/61723e81-c03b-4fd6-ad89-d4c4ac0ac33f/qg6G8QQqFmpL8ZF6luVQ3rHxgeA.jpg
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"36,990 mi.","$69,995",Mercedes-Benz of Edison,4.9,"2,535 reviews",https://platform.cstatic-images.com/large/in/v2/a3dbaec2-09fa-551b-9fd1-b8424b8ae645/fa6e8c28-fc97-42b6-9c02-10c9dcb02038/_osGajtc1xwk20Pn8ljHXM77uY8.jpg
2016 Mercedes-Benz C-Class C 300,"44,636 mi.","$26,168",Dyer Kia,4.8,187 reviews,https://platform.cstatic-images.com/large/in/v2/c13a718a-3517-595d-8983-d99df541e45f/f23ad027-ef81-439c-b90f-d956129b65b0/9KReha9rHv5TRq07P83p-A0AEjc.jpg
2020 Mercedes-Benz AMG G 63 Base,"16,801 mi.","$238,990",Ocean Mazda,4.8,"1,339 reviews",https://platform.cstatic-images.com/large/in/v2/c6cd6808-f09e-5489-9a5a-a803bafe83f7/6fbf53c0-e7e9-430f-aa6b-fc7da3d5bffc/YmJonWw7klt8vb-3N-cJDLiEx4c.jpg
2020 Mercedes-Benz AMG G 63 Base,"14,946 mi.","$244,950",Prestige Imports,3.7,27 reviews,https://platform.cstatic-images.com/large/in/v2/d6d3bd58-65c9-5628-b1e7-f805d1a2908d/cc577a64-6e04-4b40-9f58-79b3222aaeec/OU3YIGPiAe7OqG6imNWh4kspxq0.jpg
